Entity,Code,Year,Individuals using the Internet (% of population)
Canada,CAN,2000,51.29999923706060
Canada,CAN,2001,60.20000076293950
Canada,CAN,2002,61.593299865722700
Canada,CAN,2003,64.19999694824220
Canada,CAN,2004,65.95596313476560
Canada,CAN,2005,71.66000366210940
Canada,CAN,2006,72.4000015258789
Canada,CAN,2007,73.19999694824220
Canada,CAN,2008,76.69999694824220
Canada,CAN,2009,80.30000305175780
Canada,CAN,2010,80.30000305175780
Canada,CAN,2011,83
Canada,CAN,2012,83
Canada,CAN,2013,85.80000305175780
Canada,CAN,2014,87.12000274658200
Canada,CAN,2015,90
Canada,CAN,2016,91.16000366210940
Canada,CAN,2017,92.70137023925780
Canada,CAN,2018,94.63999938964840
Canada,CAN,2019,96.5
Canada,CAN,2020,96.97000122070310
Mexico,MEX,2000,5.081384181976320
Mexico,MEX,2001,7.038022994995120
Mexico,MEX,2002,11.899999618530300
Mexico,MEX,2003,12.899999618530300
Mexico,MEX,2004,14.100000381469700
Mexico,MEX,2005,17.209999084472700
Mexico,MEX,2006,19.520000457763700
Mexico,MEX,2007,20.809999465942400
Mexico,MEX,2008,21.709999084472700
Mexico,MEX,2009,26.34000015258790
Mexico,MEX,2010,31.049999237060500
Mexico,MEX,2011,37.17629623413090
Mexico,MEX,2012,39.75
Mexico,MEX,2013,43.459999084472700
Mexico,MEX,2014,44.38999938964840
Mexico,MEX,2015,57.4310417175293
Mexico,MEX,2016,59.54044723510740
Mexico,MEX,2017,63.85224914550780
Mexico,MEX,2018,65.77263641357420
Mexico,MEX,2019,70.06990814208980
Mexico,MEX,2020,71.96819305419920
United States,USA,2000,43.07916259765630
United States,USA,2001,49.080833435058600
United States,USA,2002,58.785404205322300
United States,USA,2003,61.69711685180660
United States,USA,2004,64.75825500488280
United States,USA,2005,67.96805572509770
United States,USA,2006,68.93119049072270
United States,USA,2007,75
United States,USA,2008,74
United States,USA,2009,71
United States,USA,2010,71.69000244140630
United States,USA,2011,69.72946166992190
United States,USA,2012,74.69999694824220
United States,USA,2013,71.4000015258789
United States,USA,2014,73
United States,USA,2015,74.55419921875
United States,USA,2016,85.54441833496090
United States,USA,2017,87.27488708496090
United States,USA,2018,88.4989013671875
United States,USA,2019,89.43028259277340
United States,USA,2020,90.9000015258789
Greenland,GRL,2000,31.74781036376950
Greenland,GRL,2001,35.46413803100590
Greenland,GRL,2002,44.154788970947300
Greenland,GRL,2003,54.53425979614260
Greenland,GRL,2004,56.09901428222660
Greenland,GRL,2005,57.70340347290040
Greenland,GRL,2006,59.36168670654300
Greenland,GRL,2007,61.06999969482420
Greenland,GRL,2008,62.81999969482420
Greenland,GRL,2009,62.83000183105470
Greenland,GRL,2010,63
Greenland,GRL,2011,64
Greenland,GRL,2012,64.89601135253910
Greenland,GRL,2013,65.80000305175780
Greenland,GRL,2014,66.69999694824220
Greenland,GRL,2015,67.6004409790039
Greenland,GRL,2016,68.5008773803711
Greenland,GRL,2017,69.48246002197270
