Entity,Code,Year,Number of Internet users
Canada,CAN,2000,15740541
Canada,CAN,2001,18663667
Canada,CAN,2002,19292500
Canada,CAN,2003,20299690
Canada,CAN,2004,21047649
Canada,CAN,2005,23085925
Canada,CAN,2006,23553070
Canada,CAN,2007,24055318
Canada,CAN,2008,25478621
Canada,CAN,2009,26975919
Canada,CAN,2010,27272624
Canada,CAN,2011,28488535
Canada,CAN,2012,28794257
Canada,CAN,2013,30084652
Canada,CAN,2014,30844502
Canada,CAN,2015,32158908
Canada,CAN,2016,32921097
Canada,CAN,2017,33886378
Canada,CAN,2018,35050170
Canada,CAN,2019,36209294
Canada,CAN,2020,36740677
United States,USA,2000,121654935
United States,USA,2001,140111299
United States,USA,2002,169507854
United States,USA,2003,179606368
United States,USA,2004,190355513
United States,USA,2005,201758182
United States,USA,2006,206623372
United States,USA,2007,227057544
United States,USA,2008,226214235
United States,USA,2009,219043543
United States,USA,2010,223086991
United States,USA,2011,218864469
United States,USA,2012,236538532
United States,USA,2013,228033875
United States,USA,2014,235084785
United States,USA,2015,242008728
United States,USA,2016,279910069
United States,USA,2017,287824925
United States,USA,2018,293940279
United States,USA,2019,298983035
United States,USA,2020,305371298
Mexico,MEX,2000,4973326
Mexico,MEX,2001,6995393
Mexico,MEX,2002,12009132
Mexico,MEX,2003,13213385
Mexico,MEX,2004,14656360
Mexico,MEX,2005,18146636
Mexico,MEX,2006,20864302
Mexico,MEX,2007,22537849
Mexico,MEX,2008,23812503
Mexico,MEX,2009,29250418
Mexico,MEX,2010,34941309
Mexico,MEX,2011,42436921
Mexico,MEX,2012,46012975
Mexico,MEX,2013,50974528
Mexico,MEX,2014,52715738
Mexico,MEX,2015,69003337
Mexico,MEX,2016,72353089
Mexico,MEX,2017,78435628
Mexico,MEX,2018,81567188
Mexico,MEX,2019,87647163
Mexico,MEX,2020,90678697
Greenland,GRL,2000,17844
Greenland,GRL,2001,20002
Greenland,GRL,2002,24988
Greenland,GRL,2003,30947
Greenland,GRL,2004,31914
Greenland,GRL,2005,32838
Greenland,GRL,2006,33738
Greenland,GRL,2007,34644
Greenland,GRL,2008,35556
Greenland,GRL,2009,35474
Greenland,GRL,2010,35516
Greenland,GRL,2011,36038
Greenland,GRL,2012,36483
Greenland,GRL,2013,36924
Greenland,GRL,2014,37333
Greenland,GRL,2015,37799
Greenland,GRL,2016,38320
Greenland,GRL,2017,38876
